Age,EdLevel,Employment,YearsOfExperience,Income
30,1,1,7,18700
28,1,1,8,18200
30,2,1,5,17800
45,2,1,15,30300
22,2,0.5,0,11250
30,2,1,8,19300
29,1,1,6,17700
26,1,1,3,14700
25,1,1,6,15700
24,1,1,2,13200
29,1,1,3,16200
24,2,1,2,13300
33,2,1,12,22800
28,1,1,5,16700
28,2,1,7,17800
25,1,1,5,15200
30,1,1,10,20200
31,1,1,8,19700
32,1,1,9,20700
57,3,1,9,33400
25,1,1,2,13700
24,1,1,1,12700
35,2,1,13,24300
33,1,1,15,24200
38,1,1,10,24200
30,2,1,6,18300
38,1,1,12,25200
33,1,1,11,22200
30,1,1,2,16200
32,1,1,9,20700
35,2,1,20,27800
22,1,1,0,11200
56,1,0,0,28100
46,1,1,24,35200
29,1,1,5,17200
27,1,1,6,16700
24,1,1,2,13200
36,1,1,8,22200
30,3,1,4,17400
27,1,1,6,16700
24,2,1,0,12300
27,1,1,5,16200
40,3,1,10,25400
26,1,1,5,15700
27,1,0.5,0,13650
26,1,1,4,15200
32,2,1,8,20300
31,1,1,5,18200
29,2,1,6,17800
51,2,1,27,39300
21,1,1,0,10700
27,1,1,5,16200
19,1,0.5,0,9650
25,1,1,3,14200
39,2,1,14,26800
34,2,1,7,20800
32,2,1,10,21300
27,1,1,5,16200
32,2,1,7,19800
26,1,1,2,14200
30,2,1,1,15800
30,2,1,6,18300
24,1,1,8,16200
24,2,1,3,13800
25,1,1,0,12700
30,2,1,6,18300
34,2,1,13,23800
20,1,0.5,0,10150
34,1,1,8,21200
20,1,0.5,0,10150
25,1,1,3,14200
29,1,1,8,18700
27,2,1,4,15800
45,2,1,20,32800
40,2,1,14,27300
29,1,1,10,19700
26,1,1,1,13700
20,1,0.5,0,10150
23,1,1,3,13200
24,1,1,3,13700
30,2,1,2,16300
29,2,1,6,17800
27,1,1,4,15700
31,2,1,11,21300
34,2,1,11,22800
21,1,1,0,10700
24,1,1,2,13200
32,2,1,7,19800
21,1,0.5,0,10650
23,1,1,3,13200
30,2,1,5,17800
29,1,1,5,17200
47,3,1,25,36400
18,1,0.5,0,9150
31,2,1,4,17800
25,2,1,2,13800
21,1,0.5,0,10650
22,1,0.5,0,11150
27,1,1,3,15200
26,2,1,5,15800
25,1,1,3,14200
31,1,1,13,22200
22,1,1,0,11200
29,1,1,2,15700
33,3,1,5,19400
32,1,1,8,20200
26,1,0.5,0,13150
23,2,0.5,0,11750
35,2,1,10,22800
34,1,1,7,20700
33,1,1,11,22200
39,1,1,13,26200
32,2,1,4,18300
29,1,1,8,18700
41,3,1,3,22400
28,1,1,6,17200
27,1,1,5,16200
28,2,1,3,15800
43,2,1,18,30800
21,1,0.5,0,10650
31,1,1,10,20700
29,1,1,10,19700
21,1,1,0,10700
23,1,0.5,0,11650
21,1,1,0,10700
24,1,1,2,13200
24,1,1,2,13200
27,2,0.5,0,13750
21,1,1,3,12200
30,2,1,6,18300
33,2,1,10,21800
29,1,1,7,18200
28,1,1,5,16700
40,2,1,15,27800
44,2,1,27,35800
30,1,1,11,20700
37,1,1,13,25200
45,1,0.5,0,22650
29,1,1,9,19200
22,1,0.5,0,11150
23,1,1,3,13200
22,1,1,1,11700
51,3,1,26,38900
30,1,1,5,17700
27,1,1,4,15700
35,1,1,14,24700
30,1,1,7,18700
29,1,1,5,17200
26,1,1,4,15200
31,2,1,9,20300
34,1,1,9,21700
34,2,1,10,22300
27,2,1,4,15800
34,2,1,13,23800
32,2,1,10,21300
30,1,1,6,18200
29,2,1,8,18800
21,1,0.5,0,10650
25,1,1,3,14200
25,2,0.5,0,12750
18,1,0,0,9100
23,2,0.5,0,11750
26,1,1,2,14200
63,1,1,36,49700
28,1,1,4,16200
22,2,1,0,11300
56,2,1,22,39300
53,2,1,31,42300
23,1,1,1,12200
30,1,1,8,19200
20,1,0.5,0,10150
54,1,1,26,40200
39,1,1,15,27200
25,2,1,1,13300
30,1,1,8,19200
26,1,1,2,14200
26,1,1,1,13700
35,2,1,4,19800
28,1,1,6,17200
22,2,1,0,11300
31,2,1,6,18800
23,2,1,0,11800
30,1,1,8,19200
21,1,0,0,10600
22,1,1,1,11700
18,1,0.5,0,9150
30,1,1,9,19700
34,2,1,11,22800
29,2,1,10,19800
24,1,1,7,15700
29,2,1,7,18300
49,1,1,22,35700
35,1,1,15,25200
23,1,1,1,12200
29,1,1,1,15200
21,1,0.5,0,10650
32,1,1,6,19200
23,1,1,0,11700
21,1,1,0,10700
41,3,1,6,23900
28,2,1,6,17300
32,1,1,10,21200
24,1,1,2,13200
30,1,1,7,18700
30,1,1,4,17200
31,1,1,6,18700
39,2,1,16,27800
37,2,1,5,21300
23,2,1,2,12800
30,2,1,7,18800
26,2,1,4,15300
22,1,1,1,11700
31,2,1,10,20800
40,1,1,20,30200
26,1,1,5,15700
54,1,1,17,35700
22,1,0,0,11100
30,1,1,12,21200
23,1,0.5,0,11650
25,1,1,2,13700
23,2,1,4,13800
24,1,1,4,14200
35,2,1,15,25300
27,1,1,5,16200
27,1,1,5,16200
27,1,1,4,15700
35,2,1,5,20300
34,2,1,6,20300
46,2,1,24,35300
31,2,1,8,19800
28,2,1,5,16800
24,1,1,3,13700
26,2,1,5,15800
25,1,1,4,14700
42,2,1,19,30800
35,2,1,13,24300
36,1,1,10,23200
37,2,1,9,23300
30,1,1,0,15200
28,1,1,9,18700
21,1,0.5,0,10650
30,1,1,4,17200
22,1,1,1,11700
22,1,1,0,11200
27,1,1,6,16700
40,1,1,12,26200
35,2,1,5,20300
23,1,1,2,12700
25,1,1,1,13200
22,1,0.5,0,11150
35,2,1,13,24300
35,3,1,9,22400
25,1,1,3,14200
24,1,1,3,13700
47,2,1,15,31300
55,3,1,25,40400
35,1,1,11,23200
26,1,1,2,14200
28,1,1,6,17200
26,2,0.5,0,13250
26,1,1,5,15700
31,1,1,5,18200
26,1,1,4,15200
27,1,1,6,16700
39,1,1,14,26700
35,1,1,10,22700
26,1,1,3,14700
42,2,1,15,28800
28,2,1,10,19300
24,1,1,1,12700
26,2,0.5,0,13250
33,2,1,10,21800
22,2,1,1,11800
33,1,1,10,21700
34,1,0,0,17100
29,1,1,4,16700
25,1,1,3,14200
21,1,1,1,11200
23,1,1,3,13200
25,2,1,3,14300
28,1,1,5,16700
24,1,1,2,13200
23,1,1,0,11700
30,2,1,6,18300
25,1,1,3,14200
24,1,1,1,12700
33,2,1,12,22800
31,2,1,5,18300
35,2,1,0,17800
51,1,1,19,35200
34,2,1,10,22300
29,3,1,6,17900
33,1,1,8,20700
30,1,1,8,19200
24,1,1,0,12200
39,2,1,13,26300
31,1,1,9,20200
53,1,1,10,31700
31,1,1,7,19200
31,2,1,7,19300
25,1,1,2,13700
27,1,1,4,15700
25,2,1,4,14800
28,1,1,1,14700
30,2,1,6,18300
23,1,1,2,12700
37,1,1,0,18700
27,1,1,3,15200
37,1,1,10,23700
22,1,1,1,11700
27,1,1,6,16700
25,1,1,2,13700
25,2,1,3,14300
45,1,1,23,34200
28,1,1,6,17200
26,1,1,6,16200
26,1,1,3,14700
22,1,1,2,12200
25,1,1,4,14700
27,2,1,3,15300
43,1,1,19,31200
21,1,1,0,10700
41,1,1,20,30700
26,1,1,5,15700
25,2,1,3,14300
26,1,1,0,13200
26,2,0,0,13200
22,1,0.5,0,11150
22,1,1,1,11700
28,1,1,5,16700
30,2,1,2,16300
30,2,1,6,18300
44,1,1,16,30200
30,1,1,4,17200
24,1,1,1,12700
22,1,0.5,0,11150
18,1,0.5,0,9150
33,1,1,10,21700
30,1,1,0,15200
44,2,1,23,33800
25,1,1,2,13700
25,1,1,1,13200
34,2,1,8,21300
29,2,1,5,17300
26,1,1,3,14700
23,1,1,1,12200
24,1,1,3,13700
33,3,1,8,20900
23,1,1,0,11700
24,1,1,2,13200
28,1,1,4,16200
30,1,1,6,18200
20,1,0.5,0,10150
33,1,1,10,21700
26,1,1,1,13700
34,1,1,10,22200
26,1,1,2,14200
33,2,1,8,20800
35,3,1,13,24400
23,2,1,0,11800
30,2,1,8,19300
49,1,1,20,34700
33,1,1,5,19200
25,1,0.5,0,12650
26,1,1,9,17700
31,1,1,9,20200
34,1,1,16,25200
26,1,1,4,15200
29,2,1,3,16300
44,1,1,25,34700
29,1,1,6,17700
36,1,1,12,24200
26,1,1,4,15200
30,2,1,4,17300
25,1,1,0,12700
40,3,1,6,23400
29,1,1,0,14700
28,1,1,4,16200
27,1,1,0,13700
28,1,1,6,17200
27,1,1,6,16700
28,1,1,4,16200
26,1,1,2,14200
27,1,1,5,16200
24,2,0.5,0,12250
35,1,0,0,17600
31,1,1,8,19700
20,1,1,1,10700
24,1,1,5,14700
30,1,1,6,18200
20,1,0,0,10100
28,2,1,3,15800
25,2,1,5,15300
32,1,1,6,19200
43,2,1,20,31800
24,1,1,3,13700
32,2,1,0,16300
42,2,1,16,29300
33,1,1,12,22700
24,1,1,3,13700
25,1,1,2,13700
27,1,1,7,17200
30,1,1,4,17200
42,1,1,16,29200
23,1,0,0,11600
32,2,1,8,20300
23,2,1,3,13300
25,2,1,2,13800
30,1,1,5,17700
24,2,1,1,12800
40,2,1,13,26800
30,2,1,4,17300
30,1,1,10,20200
26,1,1,2,14200
29,2,1,5,17300
47,2,1,21,34300
25,1,1,4,14700
32,1,1,12,22200
37,1,1,18,27700
25,1,1,4,14700
26,1,1,3,14700
27,1,1,2,14700
30,2,1,5,17800
28,2,1,6,17300
24,1,1,2,13200
29,2,1,5,17300
32,2,1,5,18800
23,1,1,1,12200
32,1,1,10,21200
28,1,1,7,17700
32,1,1,13,22700
20,1,0.5,0,10150
28,2,1,3,15800
42,2,1,19,30800
40,1,1,17,28700
23,2,0.5,0,11750
37,1,1,8,22700
32,2,1,9,20800
29,2,1,2,15800
25,1,1,0,12700
27,1,1,6,16700
34,2,1,12,23300
35,2,1,2,18800
31,2,1,10,20800
33,3,1,1,17400
25,1,1,4,14700
29,1,1,7,18200
42,2,1,13,27800
33,2,1,10,21800
26,1,1,4,15200
26,1,1,4,15200
24,1,1,2,13200
31,2,1,3,17300
31,1,1,10,20700
25,1,1,1,13200
30,2,1,7,18800
22,1,0,0,11100
25,1,0.5,0,12650
30,1,1,7,18700
30,2,1,9,19800
25,1,1,3,14200
35,1,1,14,24700
21,1,0.5,0,10650
27,1,1,1,14200
37,3,1,14,25900
25,1,1,2,13700
33,1,1,2,17700
21,1,1,0,10700
25,2,1,4,14800
27,1,1,5,16200
32,1,1,8,20200
25,1,1,2,13700
26,1,0,0,13100
49,1,1,21,35200
21,1,0.5,0,10650
29,1,1,5,17200
22,1,1,5,13700
29,2,1,7,18300
36,2,1,7,21800
26,1,1,3,14700
27,1,1,4,15700
26,1,1,5,15700
28,2,1,3,15800
27,1,1,3,15200
26,1,0,0,13100
32,1,1,8,20200
29,1,1,10,19700
26,2,1,4,15300
25,1,0,0,12600
31,1,1,7,19200
32,2,1,6,19300
32,2,1,7,19800
22,1,1,5,13700
33,2,1,5,19300
25,1,1,0,12700
22,1,1,1,11700
27,1,1,4,15700
24,1,1,2,13200
38,2,1,8,23300
27,1,1,3,15200
38,1,1,7,22700
27,1,1,5,16200
41,1,1,21,31200
29,1,1,6,17700
35,2,1,10,22800
40,2,1,17,28800
30,2,1,7,18800
28,1,1,6,17200
26,1,1,1,13700
22,1,1,0,11200
30,2,1,7,18800
33,3,1,6,19900
26,1,1,4,15200
42,2,1,20,31300
25,1,1,4,14700
29,2,1,3,16300
32,1,1,10,21200
27,2,1,5,16300
33,1,1,10,21700
32,3,0.5,0,16350
32,1,1,8,20200
27,2,1,3,15300
25,2,1,1,13300
34,1,1,5,19700
36,2,1,11,23800
39,2,1,15,27300
24,1,1,2,13200
25,1,1,5,15200
23,1,1,1,12200
27,1,1,5,16200
24,1,1,2,13200
29,2,1,4,16800
25,1,1,2,13700
31,2,1,5,18300
24,2,0.5,0,12250
30,2,1,7,18800
40,1,1,15,27700
29,1,1,3,16200
26,1,1,2,14200
51,1,1,34,42700
36,1,1,20,28200
27,2,1,5,16300
33,2,1,9,21300
40,1,1,5,22700
33,1,1,7,20200
33,1,1,12,22700
25,1,1,5,15200
22,1,0.5,0,11150
33,2,1,10,21800
30,2,1,6,18300
29,2,1,4,16800
27,2,0.5,0,13750
28,2,1,5,16800
25,1,0,0,12600
27,2,1,5,16300
57,1,1,35,46200
26,2,0,0,13200
32,2,1,4,18300
24,2,1,2,13300
26,1,1,6,16200
23,1,1,0,11700
28,2,1,4,16300
23,1,1,1,12200
35,2,1,15,25300
35,2,1,15,25300
39,2,1,20,29800
24,1,1,3,13700
31,1,1,7,19200
23,1,1,3,13200
43,1,1,26,34700
25,1,1,2,13700
35,2,1,12,23800
34,2,1,17,25800
24,1,1,3,13700
24,1,1,4,14200
21,1,1,1,11200
22,1,1,1,11700
24,2,1,2,13300
23,1,0.5,0,11650
23,1,1,2,12700
32,2,1,7,19800
29,2,1,6,17800
28,1,1,5,16700
29,1,1,5,17200
32,1,1,10,21200
24,1,0.5,0,12150
23,1,1,4,13700
29,3,1,3,16400
26,1,1,2,14200
50,1,1,28,39200
24,1,1,3,13700
27,1,1,3,15200
29,1,1,4,16700
30,1,0,0,15100
22,1,0,0,11100
41,2,1,16,28800
22,1,1,0,11200
49,3,1,25,37400
25,1,1,4,14700
28,1,1,7,17700
28,1,1,6,17200
22,1,1,0,11200
32,2,1,7,19800
21,1,1,3,12200
24,1,1,1,12700
29,1,1,7,18200
24,2,1,2,13300
26,2,0,0,13200
38,2,1,13,25800
22,1,0,0,11100
51,2,1,26,38800
33,2,1,5,19300
22,1,1,0,11200
21,1,1,4,12700
23,1,1,0,11700
27,2,1,2,14800
24,1,1,3,13700
27,1,1,4,15700
34,2,1,10,22300
50,2,1,15,32800
23,1,0,0,11600
53,1,1,30,41700
20,1,0.5,0,10150
29,1,1,4,16700
21,1,1,1,11200
24,1,1,2,13200
35,1,1,8,21700
25,1,1,4,14700
38,2,1,12,25300
32,2,1,10,21300
32,2,1,13,22800
20,1,1,0,10200
28,1,1,7,17700
49,1,1,15,32200
26,1,1,2,14200
33,1,1,3,18200
42,2,1,20,31300
36,1,1,12,24200
36,1,1,5,20700
22,1,1,0,11200
28,2,1,6,17300
33,2,1,10,21800
51,1,1,28,39700
27,1,1,2,14700
23,2,1,3,13300
40,1,1,16,28200
49,2,1,25,37300
22,1,1,2,12200
51,1,1,29,40200
41,2,1,15,28300
27,1,1,2,14700
21,1,1,0,10700
32,2,1,10,21300
23,1,1,1,12200
31,1,1,6,18700
26,1,1,4,15200
22,1,1,2,12200
22,1,1,2,12200
25,1,1,3,14200
25,1,1,5,15200
21,1,0,0,10600
27,2,1,3,15300
33,1,1,11,22200
22,1,1,2,12200
25,1,1,3,14200
30,1,1,4,17200
18,1,0.5,0,9150
40,2,1,12,26300
30,1,1,2,16200
38,1,1,4,21200
21,1,1,2,11700
29,1,1,8,18700
24,2,0.5,0,12250
32,1,1,10,21200
30,1,1,6,18200
26,1,1,8,17200
23,1,1,0,11700
30,2,1,1,15800
28,1,1,6,17200
24,1,1,2,13200
33,1,1,8,20700
31,1,1,8,19700
33,1,1,7,20200
28,2,1,4,16300
28,1,1,4,16200
37,1,1,20,28700
45,1,1,24,34700
30,1,1,6,18200
26,1,1,3,14700
23,1,1,2,12700
26,1,1,7,16700
33,1,1,10,21700
26,1,1,3,14700
29,1,1,8,18700
42,1,1,22,32200
26,1,1,4,15200
23,1,1,1,12200
22,1,1,0,11200
30,1,1,5,17700
26,1,1,0,13200
30,1,1,2,16200
33,1,1,12,22700
28,1,1,5,16700
31,1,1,1,16200
33,1,1,12,22700
26.5,1,1,4,15450
39,1,1,17,28200
23,1,1,2,12700
26,1,1,2,14200
23,1,1,3,13200
37,1,1,17,27200
34,1,1,8,21200
26,1,0,0,13100
35,2,1,11,23300
31,1,1,2,16700
45,1,1,12,28700
36,2,1,11,23800
28,2,1,3,15800
22,1,1,0,11200
27,1,1,5,16200
28,1,1,3,15700
29,2,1,4,16800
38,1,1,15,26700
25,1,1,2,13700
28,1,1,4,16200
48,1,1,25,36700
29,2,1,6,17800
38,2,1,12,25300
25,1,1,3,14200
42,2,1,14,28300
29,2,1,5,17300
31,1,1,5,18200
37,2,1,10,23800
44,1,1,24,34200
33,1,1,1,17200
24,1,1,3,13700
26,2,1,4,15300
22,1,1,2,12200
26,1,1,3,14700
23,2,1,5,14300
27,1,1,3,15200
28,1,1,4,16200
32,2,1,16,24300
42,1,1,14,28200
25,1,1,2,13700
26,2,1,5,15800
32,1,1,5,18700
26,1,1,4,15200
24,2,1,2,13300
23,1,1,2,12700
29,2,1,5,17300
25,1,1,2,13700
30,1,1,5,17700
36,1,1,10,23200
31,1,1,9,20200
30,1,1,5,17700
21,1,1,0,10700
30,1,1,8,19200
27,1,1,7,17200
36,1,1,13,24700
31,2,1,13,22300
29,1,1,2,15700
30,2,1,3,16800
26,1,1,2,14200
25,1,1,4,14700
27,1,1,4,15700
28,2,1,1,14800
41,2,1,0,20800
32,2,1,11,21800
32,1,0,0,16100
38,1,1,14,26200
28,1,1,5,16700
28,1,1,5,16700
29,1,1,3,16200
26,2,1,5,15800
26,1,1,3,14700
25,1,1,4,14700
38,1,1,12,25200
34,2,1,5,19800
34,1,1,12,23200
27,1,1,5,16200
32,3,1,3,17900
40,2,1,15,27800
27,1,1,4,15700
28,1,1,4,16200
39,2,1,16,27800
24,1,0,0,12100
33,3,1,8,20900
24,1,1,3,13700
22,2,1,0,11300
28,1,1,7,17700
24,1,1,4,14200
28,1,1,4,16200
23,1,1,6,14700
31,2,1,6,18800
27,2,1,3,15300
21,1,0.5,0,10650
25,2,1,2,13800
32,1,1,10,21200
21,1,0.5,0,10650
31,1,1,5,18200
25,2,1,2,13800
52,1,1,30,41200
26,1,1,3,14700
29,1,1,8,18700
26,2,1,7,16800
36,1,1,14,25200
37,1,1,15,26200
27,1,1,5,16200
24,1,1,3,13700
25,2,1,2,13800
30,2,1,5,17800
30,2,1,3,16800
23,1,1,3,13200
31,1,1,10,20700
22,1,1,0,11200
35,2,1,10,22800
25,1,1,4,14700
34,1,1,0,17200
54,2,1,25,39800
37,2,1,13,25300
27,1,1,3,15200
32,2,1,8,20300
35,1,1,8,21700
20,1,0.5,0,10150
33,1,1,10,21700
30,1,1,5,17700
52,2,1,30,41300
23,1,1,2,12700
35,2,1,10,22800
26,1,1,4,15200
30,2,0.5,0,15250
30,2,1,4,17300
32,1,1,7,19700
23,1,1,4,13700
25,2,1,4,14800
27,1,1,5,16200
30,2,1,10,20300
27,1,0.5,0,13650
27,2,1,5,16300
28,2,1,6,17300
25,1,1,1,13200
27,1,1,7,17200
40,1,1,20,30200
23,1,1,2,12700
23,1,1,2,12700
34,1,1,4,19200
37,1,1,10,23700
30,1,1,9,19700
25,1,0.5,0,12650
26,1,1,5,15700
27,2,1,3,15300
35,3,1,10,22900
26,2,1,6,16300
30,1,1,8,19200
24,1,1,2,13200
36,2,1,14,25300
31,1,1,5,18200
31,1,1,10,20700
27,1,1,5,16200
24,1,1,0,12200
22,2,1,0,11300
22,1,1,2,12200
30,2,1,6,18300
22,2,1,0,11300
25,1,1,0,12700
25,1,1,4,14700
31,1,1,9,20200
24,1,1,2,13200
48,2,1,0,24300
48,2,1,21,34800
33,3,1,13,23400
31,1,1,2,16700
31,2,1,8,19800
30,1,1,9,19700
24,1,1,3,13700
26,1,1,4,15200
38,1,1,13,25700
29,2,1,5,17300
42,3,1,12,27400
27,1,1,4,15700
29,2,1,5,17300
31,2,1,8,19800
33,1,1,7,20200
41,1,1,20,30700
31,2,1,8,19800
28,1,1,8,18200
23,2,1,1,12300
29,1,1,8,18700
47,3,1,26,36900
44,2,1,24,34300
31,1,1,9,20200
32,1,1,10,21200
30,1,1,6,18200
25,1,1,2,13700
28,1,1,5,16700
32,1,1,2,17200
27,1,1,3,15200
33,2,1,7,20300
25,1,1,3,14200
34,1,1,10,22200
23,1,1,3,13200
22,1,1,0,11200
44,2,1,18,31300
29,1,1,9,19200
51,1,1,27,39200
24,1,1,1,12700
24,1,1,3,13700
28,1,1,0,14200
26,2,1,7,16800
21,1,1,1,11200
32,2,1,8,20300
34,1,1,8,21200
26,1,1,3,14700
46,1,1,21,33700
39,1,1,14,26700
33,1,1,6,19700
25,1,1,3,14200
35,1,1,14,24700
40,1,1,15,27700
26,2,1,6,16300
35,3,1,12,23900
32,1,1,9,20700
30,2,1,8,19300
40,2,1,16,28300
27,1,1,4,15700
26,1,1,6,16200
26,1,1,3,14700
29,2,1,7,18300
25,2,1,2,13800
26,1,1,3,14700
34,1,1,10,22200
31,2,1,9,20300
31,1,1,3,17200
36,2,1,12,24300
36,2,1,8,22300
29,1,1,4,16700
38,2,1,12,25300
25,1,1,2,13700
44,1,1,8,26200
40,2,1,20,30300
31,1,1,7,19200
30,1,1,5,17700
27,1,1,5,16200
28,2,1,6,17300
35,2,1,5,20300
30,1,1,9,19700
30,2,1,7,18800
31,1,1,8,19700
31,1,1,9,20200
23,1,1,2,12700
25,1,1,2,13700
41,1,1,15,28200
21,1,0.5,0,10650
23,1,1,2,12700
26,2,1,3,14800
27,1,1,3,15200
28,1,1,8,18200
34,2,1,2,18300
26,1,1,4,15200
27,2,1,9,18300
29,1,1,7,18200
32,2,1,7,19800
30,2,1,6,18300
31,1,1,10,20700
21,1,1,1,11200
29,1,1,0,14700
22,1,1,0,11200
25,1,1,0,12700
33,2,1,14,23800
24,1,1,2,13200
30,1,1,8,19200
28,2,0,0,14200
25,1,1,3,14200
36,2,1,11,23800
28,1,1,6,17200
25,1,1,0,12700
27,3,1,3,15400
43,1,1,20,31700
31,1,1,8,19700
35,2,1,12,23800
35,1,1,13,24200
51,2,1,32,41800
31,2,1,15,23300
26,2,1,3,14800
27,1,1,3,15200
33,1,1,12,22700
26,2,1,1,13800
43,1,1,21,32200
28,2,1,0,14300
28,3,1,6,17400
29,1,1,8,18700
25,1,1,4,14700
24,1,1,2,13200
24,1,1,1,12700
27,1,1,0,13700
25,1,1,2,13700
25,2,1,3,14300
30,1,1,8,19200
26,1,1,4,15200
41,1,1,15,28200
38,1,1,12,25200
26,1,1,4,15200
24,1,1,3,13700
23,1,1,3,13200
28,2,1,5,16800
26,1,0,0,13100
29,1,1,6,17700
24,1,1,2,13200
35,1,1,14,24700
28,1,1,9,18700
29,2,1,5,17300
26,2,1,3,14800
26,1,1,2,14200
26,1,1,0,13200
28,2,1,4,16300
39,2,1,15,27300
32,1,1,4,18200
27,1,1,4,15700
21,1,0.5,0,10650
26,2,1,3,14800
24,1,1,2,13200
28,1,1,5,16700
26,1,1,4,15200
35,2,1,8,21800
32,1,1,18,25200
30,2,1,5,17800
40,2,1,14,27300
43,1,1,22,32700
28,2,1,5,16800
24,1,1,2,13200
24,2,1,6,15300
24,2,1,3,13800
31,2,1,12,21800
23,1,1,1,12200
32,1,1,10,21200
31,1,1,2,16700
35,2,1,13,24300
22,1,0.5,0,11150
31,1,1,2,16700
27,1,1,5,16200
34,1,1,8,21200
46,3,1,5,25900
40,2,1,16,28300
44,1,1,2,23200
34,1,1,9,21700
32,1,1,8,20200
28,1,1,7,17700
28,2,1,5,16800
33,1,1,10,21700
27,2,1,3,15300
38,2,1,15,26800
35,1,1,13,24200
39,2,1,9,24300
21,1,1,0,10700
29,1,1,4,16700
29,2,1,5,17300
25,2,1,2,13800
33,2,1,10,21800
22,1,0.5,0,11150
29,1,1,6,17700
33,2,1,10,21800
35,2,1,10,22800
32,2,1,7,19800
30,1,1,9,19700
27,2,1,5,16300
37,2,1,8,22800
27,2,1,5,16300
50,1,1,26,38200
32,1,1,5,18700
26,1,1,3,14700
58,1,1,25,41700
52,1,1,30,41200
26,2,1,6,16300
23,2,1,2,12800
28,2,1,3,15800
26,2,1,3,14800
34,1,1,1,17700
34,2,1,3,18800
33,2,1,10,21800
28,1,1,5,16700
25,1,1,5,15200
31,1,1,9,20200
27,1,1,6,16700
57,2,1,34,45800
30,1,1,7,18700
27,2,1,2,14800
27,2,1,5,16300
34,2,1,8,21300
31,2,1,8,19800
25,1,1,8,16700
25,1,1,1,13200
22,1,1,1,11700
28,1,1,5,16700
31,2,1,11,21300
24,1,1,2,13200
34,1,1,10,22200
29,1,1,8,18700
41,1,1,16,28700
26,1,1,5,15700
31,2,1,5,18300
25,1,1,5,15200
41,2,1,20,30800
26,2,1,5,15800
36,1,1,15,25700
24,1,1,3,13700
36,2,1,3,19800
53,1,1,0,26700
23,1,1,2,12700
35,2,1,11,23300
28,2,1,4,16300
27,2,1,4,15800
43,2,1,20,31800
26,1,1,4,15200
30,1,1,6,18200
25,1,1,8,16700
25,1,1,3,14200
22,1,1,1,11700
31,2,1,10,20800
30,2,1,8,19300
23,1,1,0,11700
25,1,0,0,12600
44,3,1,13,28900
24,2,1,1,12800
40,2,1,17,28800
27,3,1,4,15900
28,2,1,5,16800
41,2,1,10,25800
29,2,1,5,17300
30,1,1,7,18700
33,1,1,8,20700
30,1,1,7,18700
36,1,1,10,23200
27,2,1,5,16300
29,2,1,6,17800
30,1,1,6,18200
31,2,1,5,18300
43,2,1,13,28300
28,2,1,2,15300
41,2,1,12,26800
22,1,1,2,12200
29,1,1,6,17700
27,1,1,5,16200
47,1,1,24,35700
28,1,1,5,16700
28,1,1,0,14200
23,1,1,2,12700
23,1,1,2,12700
29,1,1,6,17700
22,2,1,2,12300
52,2,1,30,41300
25,2,1,2,13800
28,2,1,4,16300
27,1,1,4,15700
27,1,1,6,16700
35,2,1,9,22300
36,2,1,11,23800
45,1,1,27,36200
25,1,1,2,13700
25,1,1,3,14200
21,1,0.5,0,10650
23,2,1,3,13300
29,1,1,8,18700
25,1,1,4,14700
24,1,0.5,0,12150
25,1,0,0,12600
33,2,1,10,21800
23,1,1,4,13700
32,1,1,0,16200
40,2,1,0,20300
28,1,1,8,18200
39,2,1,10,24800
24,2,0.5,0,12250
40,2,1,13,26800
39,1,1,10,24700
24,1,1,2,13200
48,3,1,20,34400
24,1,1,1,12700
26,1,1,4,15200
32,1,1,8,20200
34,1,1,13,23700
32,3,1,9,20900
25,1,1,4,14700
34,1,1,10,22200
56,1,1,33,44700
26,1,1,0,13200
28,2,1,3,15800
38,2,1,14,26300
25,2,1,2,13800
30,1,1,6,18200
28,1,1,7,17700
25,2,1,2,13800
21,1,0.5,0,10650
25,1,1,5,15200
30,3,1,5,17900
28,1,1,6,17200
29,3,1,5,17400
27,2,1,4,15800
38,2,1,14,26300
33,1,1,0,16700
34,3,1,14,24400
36,2,1,10,23300
39,2,1,14,26800
42,2,1,10,26300
26,2,1,1,13800
29,1,1,8,18700
36,1,1,15,25700
32,2,1,13,22800
28,1,1,5,16700
31,3,1,1,16400
29,1,1,12,20700
23,1,1,2,12700
41,1,1,20,30700
27,1,1,5,16200
25,1,0.5,0,12650
30,2,1,1,15800
26,1,1,2,14200
22,1,0,0,11100
49,1,1,25,37200
21,1,0.5,0,10650
27,1,1,0,13700
26,2,1,3,14800
36,1,1,13,24700
22,2,1,0,11300
25,1,1,2,13700
32,1,1,10,21200
35,3,1,10,22900
25,1,1,3,14200
23,1,0.5,0,11650
29,2,1,5,17300
23,1,1,2,12700
22,1,1,1,11700
35,1,1,11,23200
33,1,1,9,21200
46,2,1,20,33300
29,2,1,8,18800
26,1,1,3,14700
32,1,1,11,21700
31,2,1,4,17800
39,2,1,20,29800
33,1,1,0,16700
30,3,1,7,18900
25,1,1,4,14700
23,1,1,3,13200
24,1,1,4,14200
29,1,1,7,18200
23,1,1,4,13700
27,1,0,0,13600
30,2,1,5,17800
28,1,1,6,17200
28,1,1,9,18700
27,1,1,8,17700
28,2,1,4,16300
23,2,1,0,11800
27,1,1,5,16200
31,2,1,7,19300
22,1,1,1,11700
27,1,1,8,17700
